Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Extraction Point,73,English,An alien visitor must race against time to reach his extraction point after his UFO is forced to crash down on Earth.,2021,"Science Fiction, Action, Thriller",,"Valentin Montero, Farid Jamal Khan, Bryan C. King, Tara London, Franklin Correa",Franklin Correa,,Vudu ,Vudu ,,Unknown
Peter Rabbit 2: The Runaway,93,English,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",2021,"Family, Comedy, Adventure, Animation",peter rabbit,"Rose Byrne, Domhnall Gleeson, James Corden, Margot Robbie, David Oyelowo",Will Gluck,"fuboTV, FXNow ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Columbia Pictures, Olive Bridge Entertainment, Animal Logic, MRC, 2.0 Entertainment",https://www.peterrabbit-movie.com/
Hell Hath No Fury,94,English,"Branded a traitor by her countrymen, French national Marie DuJardin is rescued by American soldiers on one condition: to survive, she must lead them to a cache of gold - before the Nazis return to claim it for themselves.",2021,"Action, War",,"Daniel Bernhardt, Dominique Vandenberg, Louis Mandylor, Nina Bergman, Timothy V. Murphy",Jesse V. Johnson,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Well Go USA Entertainment, Hall²",https://www.wellgousa.com/films/hell-hath-no-fury
Apache Junction,94,English,"Apache Junction is an outpost of lawlessness, a haven for thieves and cold-blooded killers. After big-city reporter Annabelle Angel arrives to write an article on the town, she becomes a target when notorious gunslinger Jericho Ford comes to her aid. Now Annabelle must entrust her future to a man with a deadly past, as Jericho heads toward a tense showdown.",2021,"Western, Action, Crime",,"Scout Taylor-Compton, Thomas Jane, Trace Adkins, Ed Morrone, Stuart Townsend",Justin Lee,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Saban Films, Film Bridge International, Origo Film Group, Hillin Entertainment",Unknown
Mortal Kombat Legends: Battle of the Realms,80,English,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",2021,"Animation, Action, Fantasy","chosen one, based on video game, martial arts tournament, adult animation, extreme blood","Joel McHale, Dave B. Mitchell, Jennifer Carpenter, Patrick Seitz, Jordan Rodrigues",Ethan Spaulding,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Warner Bros. Animation,https://www.warnerbros.com/movies/mortal-kombat-legends-battle-realms
Pulse,100,Ukrainian,"As a result of a terrible car accident, young Ukrainian athlete Oksana Boturchuk suffers several serious injuries, almost losing her eyesight. However, after long rehabilitation and a returning to incredible training, she is able to conquer a gold medal at the Paralympic Games in Beijing.",2021,Drama,"sports, paralympics, based on true story, beijing, china, female athlete, paralympic games","Viktoriia Levchenko, Oleksandr Kobzar, Liliia Rebryk, Nataliia Dolia, Nataliia Babenko",Serhii Chebotarenko,,Amazon Video ,Amazon Video ,Kinorob,https://kinorob.com/en/project/pulse
Spider-Man: No Way Home,148,English,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021,"Action, Adventure, Science Fiction","new york city, hero, showdown, magic, loss of loved one, secret identity, superhero, villain, portal, sequel, vigilante, superhero team, alternate reality, masked vigilante, spider web, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), fight for justice, teen superhero, superhero teamup, returning hero, crossover, teamwork","Jon Favreau, Jacob Batalon, Tom Holland, Benedict Cumberbatch, Zendaya",Jon Watts,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Marvel Studios, Pascal Pictures, Columbia Pictures",https://www.sonypictures.com/movies/spidermannowayhome
Jungle Cruise,127,English,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",2021,"Action, Adventure, Fantasy","jungle, riverboat, 1910s, amazon river, based on theme park ride","Dwayne Johnson, Jack Whitehall, Emily Blunt, Edgar Ramírez, Jesse Plemons",Jaume Collet-Serra,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Walt Disney Pictures, Seven Bucks Productions, Davis Entertainment, Flynn Picture Company, TSG Entertainment, Zaftig Films",https://movies.disney.com/jungle-cruise
The Tomorrow War,138,English,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",2021,"Action, Science Fiction, Adventure","world cup, time travel, global warming, glacier, alien, alien invasion, military, future war, father son reunion, hope for future, changing the past or future, message from the future, father son relationship, father daughter relationship, world war","J.K. Simmons, Chris Pratt, Yvonne Strahovski, Sam Richardson, Betty Gilpin",Chris McKay,Amazon Prime Video ,"Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Skydance Media, Phantom Four, Lit Entertainment Group",https://www.amazon.com/dp/B093CQZ2SM
Us Again,7,English,"In a vibrant city pulsating with rhythm and movement, an elderly man and his young-at-heart wife rekindle their youthful passion for life and each other on one magical night.",2021,"Animation, Drama, Family","new york city, dancing, rain, musical, lovers, elderly couple, short film",,Zach Parrish,Disney Plus ,,,"Walt Disney Pictures, Walt Disney Animation Studios",Unknown
The French Dispatch,108,English,"The staff of an American magazine based in France puts out its last issue, with stories featuring an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef.",2021,"Drama, Comedy","art collector, journalist, small town, france, poison, 1970s, journalism, editor-in-chief, artist, imprisonment, painter, riot, anthology, magazine, food poisoning, murderer, chef, lecture, post world war ii, child kidnapping, obituary, bicycle tour, poisoning, father son relationship","Frances McDormand, Tilda Swinton, Benicio del Toro, Adrien Brody, Léa Seydoux",Wes Anderson,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Searchlight Pictures, Indian Paintbrush, American Empirical Pictures",https://www.searchlightpictures.com/thefrenchdispatch/
The Accursed,85,English,"Hana spends twenty years suppressing a maleficent curse that was placed upon her bloodline, only to have a family member knowingly release it forcing her to kill or to be killed.",2021,Horror,"curse, witchcraft, severed hand","Yancy Butler, George Harrison Xanthis, Izabela Vidovic, Melora Walters, Maiara Walsh","Kathryn Michelle, Elizabeta Vidovic",Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Almost Normal Productions, Blue Jean Baby Productions, RMR Productions, Compound B",Unknown
Ip Man: The Awakening,76,Chinese,"When a young Master Ip stops a kidnapping, he ignites a turf war with a ruthless human-trafficking ring. In retaliation, the gang kidnaps one of Ip Man's close friends, forcing him to face the group's brutal boxing champion head-on.",2021,"Action, Adventure, History, Drama","martial arts, kung fu, hong kong, wing chun","Sergio De Ieso, Chen Guanying, Hou Tongjiang, Tse Miu, Gu Lei","Zhang Zhulin, Li Xijie","Hoopla, Hi-YAH ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",,https://wellgousa.com/films/ip-man-awakening
The Matrix Resurrections,147,English,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",2021,"Science Fiction, Action, Adventure","future, man vs machine, underground world, artificial intelligence (a.i.), computer, virtual reality, prophecy, dystopia, cyberpunk, aftercreditsstinger, dream world, woman director, gnosticism","Jessica Henwick, Carrie-Anne Moss, Yahya Abdul-Mateen II, Jonathan Groff, Keanu Reeves",Lana Wachowski,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures, Village Roadshow Pictures, Venus Castina Productions",https://www.whatisthematrix.com
Dune,155,English,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",2021,"Science Fiction, Adventure","empire, future, epic, army, based on novel or book, prophecy, dystopia, emperor, sand, spice, hallucinogen, treason, baron, revenge, premonition, betrayal, space, water shortage, creature, desert, knife fight, destiny, giant worm, space opera, sand dune, messiah, domineering, mother son relationship, giant creature","Stellan Skarsgård, Timothée Chalamet, Josh Brolin, Oscar Isaac, Rebecca Ferguson",Denis Villeneuve,"Hulu, Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Legendary Pictures,https://www.dunemovie.com/
The Misfits,94,English,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",2021,"Action, Thriller","gold, middle east, heist, prison break","Nick Cannon, Rami Jaber, Pierce Brosnan, Tim Roth, Jamie Chung",Renny Harlin,"Netflix, Starz Apple TV Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Kjam Media, RNG Entertainment, FilmGate Productions, Highland Film Group",Unknown
Those Who Call,90,English,"When their car breaks down at a small Texan town, two sisters must do everything in their power to survive a sadistic pagan cult.",2021,Horror,"voodoo, woods, pagan cult","Kevin Kincade, Angie Sandoval, Addison  Cousins, Reese Fast, Yetlanezi Rodriguez",Anubys Lopez,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Harrow House Films,Unknown
Night at the Eagle Inn,70,English,Fraternal twins spend a hellish night at the remote inn their father disappeared from the night they were born.,2021,"Horror, Mystery","hotel, haunted house, ghost, haunted by the past","Greg Schweers, Taylor Turner, Erik Bloomquist, Beau Minniear, Amelia Dudley",Erik Bloomquist,,"Google Play Movies, YouTube, Vudu ","Google Play Movies, YouTube, Vudu ",Mainframe Pictures,Unknown
House of Gucci,158,English,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately… murder.",2021,"Drama, History, Crime","marriage crisis, italy, biography, fashion designer, murder, fashion, failing marriage, 1980s, 1990s, rich family, gucci","Lady Gaga, Jared Leto, Adam Driver, Jeremy Irons, Al Pacino",Ridley Scott,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Metro-Goldwyn-Mayer, Bron Studios, Scott Free Productions",https://www.mgm.com/movies/gucci
While We Sleep,92,English,"After observing a hauntingly familiar abnormal CAT scan of a 13 year old girl, radiologist Nina Evanko battles to find the source of the young girl's sleeping disorder. What she discovers is darker and stranger than she could have imagined.",2021,Horror,,"Daryna Trehubova, Vyacheslav Babenkov, Jacy King, Brian Gross, Oliver Trevena",Andrzej Sekula,"Amazon Prime Video, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",,Unknown
Counterattack,88,Chinese,Security expert Lu Zi Ming is hired to work at an oil and gas plant project bidding event. He is framed by several of the parties involved. In order to prove his innocence he must now devise the ultimate counter-attack.,2021,"Action, Mystery, Thriller","sniper, knife fight, special ops, oil exploration, friend turned enemy","Lu Peng, Jiang Yiyi, Diego Dati, Vincent Zhao Wenzhuo, Song Hanhuan",Vincent Zhao Wenzhuo,,,,"Changxing Film Culture, Sky & Sea (Shanghai) Culture Media, N.B. Kernel Studios",Unknown
Wrath of Man,119,English,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",2021,Action,"robbery, crime boss, revenge, shootout, shooter, los angeles, california, theft, security guard, ex soldier, cash truck","Holt McCallany, Scott Eastwood, Darrell D'Silva, Jason Statham, Josh Hartnett",Guy Ritchie,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Miramax, Toff Guy Films, Flic Films, Metro-Goldwyn-Mayer",https://www.miramax.com/movie/wrath-of-man
The Penitent Thief,93,English,"The story of the two unnamed men who were crucified alongside Jesus and how they came to be beside him on the cross that fateful day. Dismas and his brother Jotham, along with Gestas, another young man who will share their fate, suffer tragedy and injustice at the hands of a band of thieves and a ruthless Roman centurion. Theirs is a story of survival against the odds, but they cannot outrun their destiny.",2021,"Drama, Fantasy","king herod, jesus christ, christian film, independent film","Stelio Savante, Kevin Sorbo, Krista Bradley, Major Dodge, James Russo",Lucas Miles,Pure Flix ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","4:13 Films, Miles Media",Unknown
HellKat,79,English,"A fallen MMA fighter must win a netherworld no-holds-barred death tournament against man, beast and demon to save her soul.",2021,"Action, Thriller, Horror",,"Ricardo Freitas, Sarah T. Cohen, Abi Casson Thompson, Adrian Bouchet, Richard D. Myers","Scott Chambers, Rebecca Matthews",Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Wild Eye Releasing, Uncork'd Entertainment",Unknown
Jujutsu Kaisen 0,105,Japanese,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?",2021,"Animation, Action, Fantasy","supernatural, exorcism, paranormal, tragedy, curse, based on manga, spirit, demon, school life, shounen, anime, based on tv series","Megumi Ogata, Takahiro Sakurai, Mikako Komatsu, Yuichi Nakamura, Kana Hanazawa",Sunghoo Park,"Crunchyroll, Crunchyroll Amazon Channel ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","MAPPA, Shueisha, Sumzap, MBS, TOHO",Unknown
Army of the Dead,148,English,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",2021,"Action, Crime, Drama, Horror, Science Fiction, Thriller","casino, tiger, vault, mercenary, safe, heist, zombie animals, apocalypse, zombie, las vegas, widower, safecracker, booby trap, casino owner, walled city, zombie apocalypse, father daughter conflict, father daughter relationship, casino heist","Ella Purnell, Omari Hardwick, Dave Bautista, Ana de la Reguera, Theo Rossi",Zack Snyder,"Netflix, Netflix basic with Ads ",,,The Stone Quarry,https://www.netflix.com/title/81046394
Finders of the Lost Yacht,86,Finnish,"Pertsa and Kilu are two neighbour boys with different backgrounds. They live adventurous life of a young imaginary mind in small harbour town. Accidentally they get involved in a bank robbery. Through their own investigation of the case, imagination and real danger gets mixed and leads to great adventure where friendship and courage is on stake.",2021,"Family, Adventure",based on novel or book,"Oskari Mustikkaniemi, Mimosa Willamo, Olavi Kiiski, Sara Vänskä, Elias Westerberg",Taavi Vartia,,,,Taavi Vartia Film & TV,Unknown
Don't Breathe 2,98,English,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",2021,"Thriller, Horror","home, invasion, sin, sequel, gunfight, blind, home invasion, criminal, handgun, blind man, hammer","Madelyn Grace, Stephanie Arcila, Rocci Williams, Brendan Sexton III, Stephen Lang",Rodo Sayagues,"fuboTV, Starz Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Ghost House Pictures, Stage 6 Films, Good Universe, Bad Hombre, Screen Gems",https://www.dontbreathemovie.com/
Granit,100,Russian,"Mozambique requests from Russia is being helped in the fight against militants of the ""Islamic State"" and a special group led by a commander with the call sign Granit is coming to the country.",2021,"Action, War",,"Aleksandr Baranovskiy, Mark Gavrilov, Elvira Sinelnik, Oleg Chernov, Evgeny Dobryakov",Denis Neimand,,,,"Aurum Production, Paritet",Unknown
The Resort,75,English,"Four friends head to Hawaii to investigate reports of a haunting at an abandoned resort in hopes of finding the infamous Half-Faced Girl. When they arrive, they soon learn you should be careful what you wish for.",2021,Horror,"helicopter, hawaii, haunting, waterfall, resort, security guard, tropical island, ghost, told in flashback","Bianca Haase, Brock O'Hurn, Michelle Randolph, Dave Sheridan, Michael Vlamis",Taylor Chien,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Double Down Pictures,Unknown
Wish Dragon,99,English,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,2021,"Animation, Family, Comedy, Fantasy","wish, dragon","Constance Wu, Jimmy O. Yang, John Cho, Jimmy Wong, Natasha Liu Bordizzo",Chris Appelhans,"Netflix, Netflix basic with Ads ",,,"Sony Pictures Animation, Tencent Pictures, Base FX, Beijing Sparkle Roll Media Corporation, Flagship Entertainment Group, Columbia Pictures",Unknown
Pleasure,108,Swedish,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",2021,Drama,"pornography, female friendship, porn star, female protagonist, los angeles, california, porn industry, porn actress, woman director","Chris Cock, Tee Reel, Evelyn Claire, Zelda Morrison, Sofia Kappel",Ninja Thyberg,"fuboTV, Paramount+ with Showtime, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Showtime Roku Premium Channel, Showtime, Showtime Apple TV Channel ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Film i Väst, Flamboyance Films, Lemming Film, Plattform Produktion, SVT, Logical Pictures, Grand Slam Film Production, SF Studios",http://neonrated.com/films/pleasure
Weekend Warriors,93,English,A fun camping trip turns into a desperate fight for survival after two kids witness a horrific event in the wild. They have to endure the elements and wildlife and they must also find a way to reach civilization before it's too late.,2021,"Action, Thriller",,"Corbin Bernsen, Jason London, Jack Gross, Jason Michael Carroll, Juliet Rusche",Ritchie Greer,,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ","My Black Lab Productions, Magic Arrow Films",https://www.weekendwarriorsthefilm.com/
They Talk,96,Italian,"Alex, a sound engineer, accidentally records mysterious voices: disturbing messages from the afterlife who warn him against an imminent and terrifying danger. Amanda, with whom he shares a terrible secret, re-emerges from his past. The appearance of the young woman triggers chilling paranormal phenomena that leave behind a trail of corpses. Is she the danger the voices of the dead speak about?",2021,"Horror, Mystery, Thriller",,"Margaux Billard, Hal Yamanouchi, Sydney White, Jonathan Tufvesson, Aciel Martinez Pol",Giorgio Bruno,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Bartlebyfilm, PFA Films, Vision Distribution, Run Film Productions",https://www.visiondistribution.it/film/they-talk/
