Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies
Back to Black,122,English,"The extraordinary story of Amy Winehouse’s early rise to fame from her early days in Camden through the making of her groundbreaking album, Back to Black that catapulted Winehouse to global fame. Told through Amy’s eyes and inspired by her deeply personal lyrics, the film explores and embraces the many layers of the iconic artist and the tumultuous love story at the center of one of the most legendary albums of all time.",2024,"Music, Drama","biography, addiction, based on true story, alcoholism, mental illness, singer-songwriter, substance abuse, 1980s, 1990s, alcohol problems, 2000s, soul music, 2010s, biopic","Juliet Cowan, Jack O'Connell, Lesley Manville, Eddie Marsan, Marisa Abela",Sam Taylor-Johnson,,,,"Monumental Pictures, StudioCanal"
The Tearsmith,106,Italian,"Adopted together after a tough childhood in an orphanage, Nica and Rigel realize that unexpected but irresistible feelings pull them together.",2024,"Romance, Drama","based on novel or book, disturbed, calm, distressing","Caterina Ferioli, Sabrina Paravicini, Alessandro Bedetti, Simone Baldasseroni, Roberta Rovelli",Alessandro Genovesi,"Netflix, Netflix basic with Ads ",,,Colorado Film
Argylle,139,English,"When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden, a cat-allergic spy, Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.",2024,"Action, Adventure, Comedy","cat, spy, secret agent, writer's block, author, novelist, aftercreditsstinger, secrets, spy universe","Henry Cavill, Bryce Dallas Howard, Bryan Cranston, Sam Rockwell, Catherine O'Hara",Matthew Vaughn,Apple TV Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Google Play Movies, YouTube ","Marv, Apple Studios, Cloudy Productions"
Dune: Part Two,167,English,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",2024,"Science Fiction, Adventure","epic, based on novel or book, fight, sandstorm, sand, spice, chosen one, sequel, distant future, creature, planet, desert, destiny, giant worm, space opera, sand dune, messiah, vengeance, giant creature, power, violence","Josh Brolin, Timothée Chalamet, Zendaya, Javier Bardem, Rebecca Ferguson",Denis Villeneuve,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ",Legendary Pictures
Deadpool & Wolverine,0,English,"Third entry in the ""Deadpool"" franchise. Plot TBA.",2024,"Comedy, Science Fiction, Action","hero, superhero, anti hero, mutant, marvel cinematic universe (mcu)","Morena Baccarin, Rob Delaney, Ryan Reynolds, Hugh Jackman, Emma Corrin",Shawn Levy,,,,"Marvel Studios, Kevin Feige Productions, Maximum Effort, 21 Laps Entertainment, Genre Films"
Jade,0,English,"Jade presents the story of a woman who comes between a powerful businessman and a gang leader in their search for a hard drive that could damage the operations of Interpol. Despite grieving for the brother she accidentally killed, the woman is required to use her unique set of skills to retrieve the drive and protect her brother's unborn child being carried by another woman.",2024,"Action, Thriller",None,"Mickey Rourke, Marcus Aurelio, Mark Dacascos, Shaina West, Marcus Vincios Maciel",James Bamford,,,,Tetrad Productions
Noah's Ark,96,Portuguese,"A pair of mice attempt to board Noah's Ark: Vini, a charismatic poet with terrible stage fright, and Tito, a talented and charming guitarist. When the rains come, only one male and one female of each species is allowed on Noah's Ark. With the help of an ingenious cockroach and fate's good luck, Vini and Tito sneak their way onto the Ark and together avert a showdown among the ships carnivores and plant eaters. All the while, the animals perform a series of classic songs inspired by world renowned poet, Vinicius de Moraes. Can these talented stowaways use music to break the tension and help these cooped up creatures survive the 40 days and 40 nights together?",2024,"Animation, Music, Comedy",noah's ark,"Keith Silverstein, Marcelo Adnet, Ian James Corlett, Rodrigo Santoro, Alice Braga","Sérgio Machado, Alois Di Leo",,,,"Gullane Entretenimento, VideoFilmes, Symbiosys Technologies Pvt Ltd., NIP, Globo Filmes, Telecine"
Civil War,109,English,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",2024,"War, Action, Drama","sniper, new york city, race against time, washington dc, usa, the white house, civil war, post-traumatic stress disorder (ptsd), photographer, dystopia, war photographer, road trip, president, female protagonist, soldier, fictional war, xenophobia, assassination of president, suicide bombing, disturbed, war trauma, mass grave, war journalism, charlottesville, near future, violence, american politics","Wagner Moura, Nelson Lee, Cailee Spaeny, Stephen McKinley Henderson, Kirsten Dunst",Alex Garland,,,,"DNA Films, IPR.VC"
Arthur the King,107,English,"Over the course of ten days and 435 miles, an unbreakable bond is forged between pro adventure racer Michael Light and a scrappy street dog companion dubbed Arthur. As the team is pushed to their outer limits of endurance in the race, Arthur redefines what victory, loyalty and friendship truly mean.",2024,"Drama, Adventure","sweden, based on true story, lost dog, dog rescue, inspirational, dog adventure, leakedcinem@","Ali Suliman, Juliet Rylance, Nathalie Emmanuel, Mark Wahlberg, Simu Liu",Simon Cellan Jones,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Sierra/Affinity, Entertainment One, Tucker Tooley Entertainment, Municipal Pictures, Mark Canton Productions"
Land of Bad,113,English,"When a Delta Force special ops mission goes terribly wrong, Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above, the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.",2024,"Action, Thriller, War","air force, battle, behind enemy lines, special ops, rescue operation, amused","Liam Hemsworth, Ricky Whittle, Luke Hemsworth, Russell Crowe, Milo Ventimiglia",William Eubank,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, FlixFling, Spectrum On Demand ","Broken Open Pictures, Volition Media Partners, Highland Film Group, Hoodlum Entertainment, R.U. Robot Studios, Moonbow, Gosdom Entertainment, Short Porch Pictures, The Avenue Entertainment"
The First Omen,119,English,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",2024,Horror,"nun, prophecy, italy, devil's son, revelation, anti-christ, prequel, priest, female protagonist, church, dark secret, disturbed, religious horror","Ralph Ineson, María Caballero, Nell Tiger Free, Bill Nighy, Sônia Braga",Arkasha Stevenson,,,,"Phantom Four, 20th Century Studios"
City Hunter,105,Japanese,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death.",2024,"Action, Comedy, Drama","remake, based on manga, based on anime, sweeper, live action remake","Masanobu Ando, Ryohei Suzuki, Misato Morita, Fumino Kimura, Asuka Hanamura",Yuichi Satoh,"Netflix, Netflix basic with Ads ",,,"Horipro, Office Shirous, Netflix"
Woody Woodpecker Goes to Camp,101,English,"After getting kicked out of the forest, Woody thinks he's found a forever home at Camp Woo Hoo — until an inspector threatens to shut down the camp.",2024,"Family, Comedy, Animation","camping, woodpecker, bird","Mary-Louise Parker, Eric Bauza, Kevin Michael Richardson, Josh Lawson, Tom Kenny",Jonathan A. Rosenbaum,"Netflix, Netflix basic with Ads ",,,"Universal 1440 Entertainment, Universal Animation Studios"
Abigail,109,English,"After a group of would-be criminals kidnap the 12 year old ballerina daughter of a powerful underworld figure, all they have to do to collect a $50 million ransom is watch the girl overnight. In an isolated mansion, the captors start to dwindle, one by one, and they discover, to their mounting horror, that they’re locked inside with no normal little girl.",2024,"Horror, Thriller, Comedy","ransom, vampire, kidnapping, ballerina, monster movie, dracula","Kathryn Newton, Alisha Weir, Kevin Durand, Dan Stevens, Melissa Barrera","Matt Bettinelli-Olpin, Tyler Gillett",,,,"Project X Entertainment, Radio Silence, Universal Pictures, Vinson Films"
Lights Out,90,English,"A drifting ex-soldier turns underground fighter with the help of a just-released ex-con, pitting him against corrupt cops and hired killers now gunning for him and all those he cares about.",2024,"Action, Thriller",None,"Dermot Mulroney, Scott Adkins, Frank Grillo, Mekhi Phifer, Jaime King",Christian Sesma,"Hulu, Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Firebrand
Road House,121,English,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",2024,"Action, Thriller","florida keys, remake, bouncer, fighting, ufc, mma, audacious, baffled, bold","Jake Gyllenhaal, Jessica Williams, Conor McGregor, Billy Magnussen, Daniela Melchior",Doug Liman,Amazon Prime Video ,,,"Metro-Goldwyn-Mayer, Silver Pictures"
The Garfield Movie,101,English,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",2024,"Animation, Comedy, Family","friendship, cat, villain, based on comic, lasagne, computer animation, based on cartoon, food, dog, father son relationship, adaptation","Chris Pratt, Hannah Waddingham, Samuel L. Jackson, Harvey Guillén, Nicholas Hoult",Mark Dindal,,,,"Alcon Entertainment, Prime Focus, DNEG Animation, Columbia Pictures, Paws, Inc., One Cool Film Production, Wayfarer Studios"
Imaginary,104,English,"When Jessica moves back into her childhood home with her family, her youngest stepdaughter Alice develops an eerie attachment to a stuffed bear named Chauncey she finds in the basement. Alice starts playing games with Chauncey that begin playful and become increasingly sinister. As Alice’s behavior becomes more and more concerning, Jessica intervenes only to realize Chauncey is much more than the stuffed toy bear she believed him to be.",2024,"Horror, Mystery, Thriller","stepmother, imaginary friend, stepmother stepdaughter relationship","DeWanda Wise, Tom Payne, Taegen Burns, Betty Buckley, Pyper Braun",Jeff Wadlow,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Blumhouse Productions, Tower of Babble Entertainment, Lionsgate"
Justice League: Crisis on Infinite Earths Part One,93,English,"Death is coming. Worse than death: oblivion. Not just for our Earth, but for everyone, everywhere, in every universe! Against this ultimate destruction, the mysterious Monitor has gathered the greatest team of Super Heroes ever assembled. But what can the combined might of Superman, Wonder Woman, Batman, The Flash, Green Lantern and hundreds of Super Heroes from multiple Earths even do to save all of reality from an unstoppable antimatter armageddon?!",2024,"Animation, Science Fiction, Action","superhero, villain, end of the world, based on graphic novel, superhero team, parallel universe, dcamu (tomorrowverse)","Matt Bomer, Meg Donnelly, Darren Criss, Jensen Ackles, Stana Katic",Jeff Wamester,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","DC Entertainment, Warner Bros. Animation"
Rebel Moon - Part Two: The Scargiver,123,English,"The rebels gear up for battle against the ruthless forces of the Motherworld as unbreakable bonds are forged, heroes emerge — and legends are made.",2024,"Science Fiction, Action, Drama","space war, space, female protagonist, space opera, space adventure, action hero, alien spaceship, super hero girls, space vessel, odyssey","Djimon Hounsou, Bae Doona, Ed Skrein, Michiel Huisman, Sofia Boutella",Zack Snyder,"Netflix, Netflix basic with Ads ",,,"The Stone Quarry, Grand Electric"
Megamind vs. the Doom Syndicate,85,English,"Megamind's former villain team, The Doom Syndicate, has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne, Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon.",2024,"Animation, Comedy, Science Fiction","sequel, low cost, low budget, worst film","Emily Tuñon, Laura Post, Josh Brener, Maya Tuttle, Keith Ferguson",Eric Fogel,Peacock ,,,DreamWorks Animation Television
Immaculate,89,English,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",2024,"Horror, Mystery, Thriller","nun, italy, pregnancy, priest, female protagonist, church, convent (nunnery), dark secret, somber, religious horror, body horror","Benedetta Porcaroli, Giorgio Colangeli, Álvaro Morte, Sydney Sweeney, Dora Romano",Michael Mohan,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Black Bear Pictures, Fifty-Fifty Films, Middle Child Films"
Inside Out 2,100,English,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",2024,"Animation, Family, Drama, Adventure, Fantasy","sequel, computer animation, teenage girl, emotions, anxiety, pixar","Tony Hale, Phyllis Smith, Liza Lapira, Lewis Black, Amy Poehler",Kelsey Mann,,,,"Pixar, Walt Disney Pictures, Sorenstudio"
The Fall Guy,126,English,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",2024,"Action, Comedy, Drama","stuntman, missing person, action comedy, based on tv series","Ryan Gosling, Aaron Taylor-Johnson, Winston Duke, Emily Blunt, Hannah Waddingham",David Leitch,,,,"87North Productions, Entertainment 360, Universal Pictures"
Ghostbusters: Frozen Empire,115,English,"The Spengler family returns to where it all started – the iconic New York City firehouse – to team up with the original Ghostbusters, who've developed a top-secret research lab to take busting ghosts to the next level. But when the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.",2024,"Fantasy, Adventure, Comedy","new york city, supernatural, ghostbuster, sequel, teenage girl, ghost, duringcreditsstinger, research laboratory, evil force, ancient artifact","Paul Rudd, Finn Wolfhard, Dan Aykroyd, Carrie Coon, Mckenna Grace",Gil Kenan,,,,"Ghost Corps, Columbia Pictures"
Badland Hunters,107,Korean,"After a deadly earthquake turns Seoul into a lawless badland, a fearless huntsman springs into action to rescue a teenager abducted by a mad doctor.",2024,"Science Fiction, Action","post-apocalyptic future, earthquake, badlands, based on webcomic or webtoon, seoul, south korea","Ma Dong-seok, Ahn Ji-hye, Lee Jun-young, Roh Jeong-eui, Lee Hee-jun",Heo Myeong-haeng,"Netflix, Netflix basic with Ads ",,,"Climax Studios, Big Punch Pictures, Nova Film"
Ricky Stanicky,113,English,"When three childhood best friends pull a prank gone wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, the trio still uses the nonexistent Ricky as a handy alibi for their immature behavior. But when their spouses and partners get suspicious and demand to finally meet the fabled Mr. Stanicky, the guilty trio decide to hire a washed-up actor and raunchy celebrity impersonator to bring him to life.",2024,Comedy,"lie, male friendship, atlantic city, lgbt, lying, pathetic, actor","Zac Efron, John Cena, Lex Scott Davis, Jermaine Fowler, Andrew Santino",Peter Farrelly,Amazon Prime Video ,,,"Footloose Productions, Michael De Luca Productions, Smart Entertainment, RocketScience, Gerber Pictures, Amazon MGM Studios"
Mean Girls,113,English,"New student Cady Heron is welcomed into the top of the social food chain by the elite group of popular girls called ‘The Plastics,’ ruled by the conniving queen bee Regina George and her minions Gretchen and Karen. However, when Cady makes the major misstep of falling for Regina’s ex-boyfriend Aaron Samuels, she finds herself prey in Regina’s crosshairs. As Cady sets to take down the group’s apex predator with the help of her outcast friends Janis and Damian, she must learn how to stay true to herself while navigating the most cutthroat jungle of all: high school.",2024,Comedy,"high school, musical, illinois, female friendship, bullying, based on play or musical, kenya, teen movie, prom, teenage girl, homeschooling, math teacher, gossip, intervention, clique, former best friend, teen comedy, based on movie, public humiliation, aftercreditsstinger, woman director, high school rivalry, teenage life, manipulative friend, math genius, segregation, musical comedy, female bully, dumb blonde, teen romance, high school romance","Avantika Vandanapu, Reneé Rapp, Jaquel Spivey, Angourie Rice, Auli'i Cravalho","Arturo Perez Jr., Samantha Jayne","fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Little Stranger, Broadway Video, Paramount"
Late Night with the Devil,93,English,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",2024,Horror,"new york city, 1970s, halloween, possession, hallucination, evil, hypnotism, found footage, satanic cult, death of wife, magician, late-night show, provocative, satanic panic, awestruck","Ian Bliss, Fayssal Bazzi, David Dastmalchian, Ingrid Torelli, Laura Gordon","Colin Cairnes, Cameron Cairnes","AMC Plus Apple TV Channel , AMC+ Amazon Channel, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",,"Spooky Pictures, Future Pictures, Good Fiend Films, Image Nation Abu Dhabi, VicScreen, AGC Studios"
Justice League: Crisis on Infinite Earths Part Two,94,English,"An endless army of shadow demons bent on the destruction of all reality swarms over our world and all parallel Earths! The only thing opposing them is the mightiest team of metahumans ever assembled. But not even the combined power of Superman, Batman, Wonder Woman, Green Lantern and all their fellow superheroes can slow down the onslaught of this invincible horde. What mysterious force is driving them? And how do the long-buried secrets of the Monitor and Supergirl threaten to crush our last defense?",2024,"Animation, Science Fiction, Action","superhero, end of the world, based on graphic novel, superhero team, parallel universe, dcamu (tomorrowverse)","Meg Donnelly, Darren Criss, Jonathan Adams, Jensen Ackles, Stana Katic",Jeff Wamester,,"Apple TV, Amazon Video, Google Play Movies, YouTube ",,"Warner Bros. Animation, DC Entertainment"
Kingdom of the Planet of the Apes,145,English,"Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.",2024,"Science Fiction, Adventure, Action","dystopia, sequel, distant future, ape, monkey, evil tyrant","Owen Teague, Kevin Durand, Freya Allan, Peter Macon, William H. Macy",Wes Ball,,,,"20th Century Studios, Oddball Entertainment, Jason T. Reed Productions"
The Beekeeper,105,English,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,2024,"Action, Thriller, Drama","potus, secret government agency, fbi agent, beekeepers, scammer, scam call center, retired assassin, exhilarated","Bobby Naderi, Jeremy Irons, Jason Statham, Josh Hutcherson, Emmy Raver-Lampman",David Ayer,"fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Miramax, Cedar Park Entertainment, Punch Palace Productions"
Furiosa: A Mad Max Saga,148,English,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",2024,"Science Fiction, Action, Adventure","post-apocalyptic future, prequel, spin off","Tom Burke, Chris Hemsworth, Anya Taylor-Joy, Lachy Hulme, Angus Sampson",George Miller,,,,"Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Mitchell"
Fighter,167,Hindi,"Top IAF aviators come together in the face of imminent danger, to form Air Dragons. Fighter unfolds their camaraderie, brotherhood and battles, internal and external.",2024,"Action, Thriller, War","helicopter, airplane, fighter pilot, helicopter pilot, kashmir conflict, behind enemy lines, jet fighter pilot, military, retaliation, armed conflict, kashmir, fighter pilots, india pakistan border, military aviation, military pilots, islamic terrorism, indian air force, india pakistan conflict","Deepika Padukone, Karan Singh Grover, Hrithik Roshan, Anil Kapoor, Akshay Oberoi",Siddharth Anand,"Netflix, Netflix basic with Ads ",,,"Marflix Pictures, Viacom18 Studios, Prime Focus"
Miller's Girl,93,English,A precocious young writer becomes involved with her high school creative writing teacher in a dark coming-of-age drama that examines the blurred lines of emotional connectivity between professor and protégé.,2024,"Mystery, Thriller, Drama","husband wife relationship, school, writer, teacher student relationship, teachers and students","Jenna Ortega, Bashir Salahuddin, Dagmara Dominczyk, Martin Freeman, Gideon Adlon",Jade Halley Bartlett,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Point Grey Pictures, Good Universe, Lionsgate"
Madame Web,116,English,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",2024,"Action, Fantasy","new york city, superhero, spider, based on comic, super power, paramedic, superhero team, manhattan, new york city, clairvoyant, epic battle, teen superhero, web, origin story, 2000s, vision of the future, female superhero, incredulous, tragic, superpower, epic heroes","Celeste O'Connor, Tahar Rahim, Dakota Johnson, Sydney Sweeney, Isabela Merced",S.J. Clarkson,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Columbia Pictures, di Bonaventura Pictures"
No Way Up,90,English,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,2024,"Action, Horror, Thriller","ocean, bodyguard, rescue mission, childhood trauma, shark, airplane trip, sharks, air crash, survivor, depressing","Sophie McIntosh, Colm Meaney, Jeremias Amoore, Phyllis Logan, Will Attenborough",Claudio Fäh,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Altitude Film Entertainment, Ingenious Media, Hyprr Films, Sarma Films, Dimension Studio"
Sayen: The Huntress,88,Spanish,"The action-packed thriller follows the journey of Sayen, a Mapuche woman who uncovers a dangerous conspiracy led by an international corporation that is destroying her family's land and ravaging the local ecosystems throughout Chile, and takes it upon herself to bring these people to justice and save her family's legacy.",2024,"Action, Thriller",None,"Aarón Díaz, Alfredo Castro, Rallén Montenegro, Eyal Meyer, Eva De Dominici",Alexander Witt,Amazon Prime Video ,,,Fabula
